timestamp_utc,interval_sec,metric,value,unit
2026-07-04 18:44:20+00:00,20,power.energy.summation,482.763,J
2026-07-04 18:44:20+00:00,20,power.power.average,24.138,W
2026-07-04 18:44:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:44:40+00:00,20,cpu.ready.summation,27.0,ms
2026-07-04 18:44:40+00:00,20,cpu.usagemhz.average,19.0,MHz
2026-07-04 18:44:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:44:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:44:40+00:00,20,power.energy.summation,425.621,J
2026-07-04 18:44:40+00:00,20,power.power.average,21.281,W
2026-07-04 18:45:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:45:00+00:00,20,cpu.ready.summation,27.0,ms
2026-07-04 18:45:00+00:00,20,cpu.usagemhz.average,25.0,MHz
2026-07-04 18:45:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:45:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:45:00+00:00,20,power.energy.summation,539.957,J
2026-07-04 18:45:00+00:00,20,power.power.average,26.997,W
2026-07-04 18:45:20+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:45:20+00:00,20,cpu.ready.summation,26.0,ms
2026-07-04 18:45:20+00:00,20,cpu.usagemhz.average,23.0,MHz
2026-07-04 18:45:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:45:20+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:45:20+00:00,20,power.energy.summation,246.437,J
2026-07-04 18:45:20+00:00,20,power.power.average,12.321,W
2026-07-04 18:45:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:45:40+00:00,20,cpu.ready.summation,26.0,ms
2026-07-04 18:45:40+00:00,20,cpu.usagemhz.average,21.0,MHz
2026-07-04 18:45:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:45:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:45:40+00:00,20,power.energy.summation,436.729,J
2026-07-04 18:45:40+00:00,20,power.power.average,21.836,W
2026-07-04 18:46:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:46:00+00:00,20,cpu.ready.summation,26.0,ms
2026-07-04 18:46:00+00:00,20,cpu.usagemhz.average,25.0,MHz
2026-07-04 18:46:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:46:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:46:00+00:00,20,power.energy.summation,468.937,J
2026-07-04 18:46:00+00:00,20,power.power.average,23.446,W
2026-07-04 18:46:20+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:46:20+00:00,20,cpu.ready.summation,33.0,ms
2026-07-04 18:46:20+00:00,20,cpu.usagemhz.average,27.0,MHz
2026-07-04 18:46:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:46:20+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:46:20+00:00,20,power.energy.summation,563.902,J
2026-07-04 18:46:20+00:00,20,power.power.average,28.195,W
2026-07-04 18:46:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:46:40+00:00,20,cpu.ready.summation,34.0,ms
2026-07-04 18:46:40+00:00,20,cpu.usagemhz.average,25.0,MHz
2026-07-04 18:46:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:46:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:46:40+00:00,20,power.energy.summation,475.269,J
2026-07-04 18:46:40+00:00,20,power.power.average,23.763,W
2026-07-04 18:47:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:47:00+00:00,20,cpu.ready.summation,33.0,ms
2026-07-04 18:47:00+00:00,20,cpu.usagemhz.average,23.0,MHz
2026-07-04 18:47:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:47:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:47:00+00:00,20,power.energy.summation,288.368,J
2026-07-04 18:47:00+00:00,20,power.power.average,14.418,W
2026-07-04 18:47:20+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:47:20+00:00,20,cpu.ready.summation,29.0,ms
2026-07-04 18:47:20+00:00,20,cpu.usagemhz.average,22.0,MHz
2026-07-04 18:47:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:47:20+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:47:20+00:00,20,power.energy.summation,517.395,J
2026-07-04 18:47:20+00:00,20,power.power.average,25.869,W
2026-07-04 18:47:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:47:40+00:00,20,cpu.ready.summation,28.0,ms
2026-07-04 18:47:40+00:00,20,cpu.usagemhz.average,21.0,MHz
2026-07-04 18:47:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:47:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:47:40+00:00,20,power.energy.summation,484.69,J
2026-07-04 18:47:40+00:00,20,power.power.average,24.234,W
2026-07-04 18:48:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:48:00+00:00,20,cpu.ready.summation,26.0,ms
2026-07-04 18:48:00+00:00,20,cpu.usagemhz.average,28.0,MHz
2026-07-04 18:48:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:48:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:48:00+00:00,20,power.energy.summation,335.284,J
2026-07-04 18:48:00+00:00,20,power.power.average,16.764,W
2026-07-04 18:48:20+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:48:20+00:00,20,cpu.ready.summation,27.0,ms
2026-07-04 18:48:20+00:00,20,cpu.usagemhz.average,28.0,MHz
2026-07-04 18:48:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:48:20+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:48:20+00:00,20,power.energy.summation,552.149,J
2026-07-04 18:48:20+00:00,20,power.power.average,27.607,W
2026-07-04 18:48:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:48:40+00:00,20,cpu.ready.summation,29.0,ms
2026-07-04 18:48:40+00:00,20,cpu.usagemhz.average,24.0,MHz
2026-07-04 18:48:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:48:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:48:40+00:00,20,power.energy.summation,329.236,J
2026-07-04 18:48:40+00:00,20,power.power.average,16.461,W
2026-07-04 18:49:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:49:00+00:00,20,cpu.ready.summation,27.0,ms
2026-07-04 18:49:00+00:00,20,cpu.usagemhz.average,26.0,MHz
2026-07-04 18:49:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:49:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:49:00+00:00,20,power.energy.summation,562.295,J
2026-07-04 18:49:00+00:00,20,power.power.average,28.114,W
2026-07-04 18:49:20+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:49:20+00:00,20,cpu.ready.summation,30.0,ms
2026-07-04 18:49:20+00:00,20,cpu.usagemhz.average,24.0,MHz
2026-07-04 18:49:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:49:20+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:49:20+00:00,20,power.energy.summation,457.523,J
2026-07-04 18:49:20+00:00,20,power.power.average,22.876,W
2026-07-04 18:49:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:49:40+00:00,20,cpu.ready.summation,29.0,ms
2026-07-04 18:49:40+00:00,20,cpu.usagemhz.average,22.0,MHz
2026-07-04 18:49:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:49:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:49:40+00:00,20,power.energy.summation,546.84,J
2026-07-04 18:49:40+00:00,20,power.power.average,27.342,W
2026-07-04 18:50:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:50:00+00:00,20,cpu.ready.summation,33.0,ms
2026-07-04 18:50:00+00:00,20,cpu.usagemhz.average,26.0,MHz
2026-07-04 18:50:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:50:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:50:00+00:00,20,power.energy.summation,452.854,J
2026-07-04 18:50:00+00:00,20,power.power.average,22.642,W
2026-07-04 18:50:20+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:50:20+00:00,20,cpu.ready.summation,31.0,ms
2026-07-04 18:50:20+00:00,20,cpu.usagemhz.average,29.0,MHz
