state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado,Municipio.NomeMunicipio
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1001291457,R VITÓRIA RÉGIA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,240,FB,,,760,,23.8,25,60,-1,X,38,094692203257,263,-8.78862,-63.86528,G,2023-10-23,2015-03-31,,26eaf5f80320c2e0,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1001291457,R VITÓRIA RÉGIA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,30,FB,,,760,,23.8,25,60,0,X,38,094692203257,263,-8.78862,-63.86528,G,2023-10-23,2015-03-31,,26eaf5f80320c2e1,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,698350960,R GALDINO MOREIRA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,110,FB,,,760,,23.8,25,60,0,X,42,094692203257,263,-8.8085,-63.88245,G,2023-10-23,2012-12-20,,1493f5f803421c3d,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,698350960,R GALDINO MOREIRA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,210,FB,,,760,,23.8,25,60,0,X,42,094692203257,263,-8.8085,-63.88245,G,2023-10-23,2012-12-20,,1493f5f803421c3e,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,698350960,R GALDINO MOREIRA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,340,FB,,,760,,23.8,25,60,0,X,42,094692203257,263,-8.8085,-63.88245,G,2023-10-23,2012-12-20,,1493f5f803421c3f,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,693004630,RUA PIAU,QUADRA 44  LOTE 180,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,5,FB,,,760,,23.8,25,60,-2,X,51,094692203257,263,-8.76765,-63.86037,G,2023-10-23,2010-12-30,,c4c085f8039027d1,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,693004630,RUA PIAU,QUADRA 44  LOTE 180,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,135,FB,,,760,,23.8,25,60,0,X,51,094692203257,263,-8.76765,-63.86037,G,2023-10-23,2010-12-30,,c4c085f8039027d2,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,693004630,RUA PIAU,QUADRA 44  LOTE 180,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,190,FB,,,760,,23.8,25,60,-2,X,51,094692203257,263,-8.76765,-63.86037,G,2023-10-23,2010-12-30,,c4c085f8039027d3,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1003975930,R INDAIÁ,(ESQUINA COM A RUA MASSAPE)  N.° 3422,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,300,FB,,,760,,23.8,25,60,0,X,31,094692203257,199.5,-8.7645,-63.84415,G,2025-08-12,2017-04-25,,023b85f8033c3b1e,2041-12-08,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1003975930,R INDAIÁ,(ESQUINA COM A RUA MASSAPE)  N.° 3422,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,230,FB,,,760,,23.8,25,60,0,X,31,094692203257,199.5,-8.7645,-63.84415,G,2025-08-12,2017-04-25,,023b85f8033c3b1f,2041-12-08,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1003975930,R INDAIÁ,(ESQUINA COM A RUA MASSAPE)  N.° 3422,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,60,FB,,,760,,23.8,25,60,0,X,31,094692203257,199.5,-8.7645,-63.84415,G,2025-08-12,2017-04-25,,023b85f8033c3b20,2041-12-08,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,5180392,R GETÚLIO VARGAS,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,0,FB,,,760,,23.8,25,60,0,X,48,094692203257,263,-8.76356,-63.8953,G,2023-10-27,2003-03-06,,550085f8023b639a,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,5180392,R GETÚLIO VARGAS,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,110,FB,,,760,,23.8,25,60,-1,X,48,094692203257,263,-8.76356,-63.8953,G,2023-10-27,2003-03-06,,550085f8023b639b,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,5180392,R GETÚLIO VARGAS,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,230,FB,,,760,,23.8,25,60,-1,X,48,094692203257,263,-8.76356,-63.8953,G,2023-10-27,2003-03-06,,550085f8023b639c,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1000725712,R GUARANI,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,10,FB,,,760,,23.8,25,60,-1,X,29,094692203257,263,-8.77465,-63.85177,G,2023-11-16,2014-11-05,,93a3a5f80354195a,2028-08-09,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1000725712,R GUARANI,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,110,FB,,,760,,23.8,25,60,-1,X,29,094692203257,263,-8.77465,-63.85177,G,2023-11-16,2014-11-05,,93a3a5f80354195b,2028-08-09,,,Porto Velho
